Star_ID,Name,X,Y
677,Alpheratz,995,851
746,Caph,535,410
1067,Algenib,1201,1072
2920,Fulu,550,549
3092,HIP 3092,867,925
3179,Schedar,506,512
3821,Achird,468,506
3881,HIP 3881,690,790
107418,Castula,434,494
4436,HIP 4436,702,851
4889,HIP 4889,772,981
5447,Mirach,696,935
6411,Adhil,530,788
6686,Ruchbah,353,518
7513,Titawin,530,895
7607,Nembus,445,761
8886,Segin,251,482
9640,Almach,421,932
12191,Buna,295,994
13192,Nushagak,84,334
13268,Miram,151,701
14328,HIP 14328,116,766
14576,Algol,172,1061
14668,Misam,143,971
15863,Mirfak,60,865
16228,HIP 16228,17,625
101421,Aldulfin,1861,61
101769,Rotanev,1777,63
101958,Sualocin,1743,66
103527,Musica,1825,208
104521,HIP 104521,1817,279
104780,Solaris,1710,258
104858,HIP 104858,1810,303
104987,Kitalpha,1913,354
105570,HIP 105570,1862,378
107136,Azelfafage,909,117
107310,HIP 107310,1359,292
107315,Enif,1745,461
107354,HIP 107354,1421,320
108917,Kurhah,612,80
109074,Sadalmelik,1901,684
109176,HIP 109176,1381,422
109352,HIP 109352,1226,359
109427,Biham,1753,633
109492,HIP 109492,736,149
109937,HIP 109937,1126,344
110395,Sadachbia,1876,780
110538,HIP 110538,837,236
110609,HIP 110609,888,265
111022,HIP 111022,914,297
111104,HIP 111104,998,345
111169,HIP 111169,863,278
111497,HIP 111497,1807,835
111710,Situla,1884,900
112029,Homam,1574,733
112158,Matar,1210,523
112724,HIP 112724,536,160
112748,Sadalbari,1295,613
113881,Scheat,1197,628
113889,Fumalsamakah,1639,925
113963,Markab,1424,786
114322,Ebla,1739,1032
114971,HIP 114971,1605,995
115227,HIP 115227,1555,982
115250,Salm,1227,747
115623,Alkarab,1219,770
115738,HIP 115738,1610,1069
115830,HIP 115830,1511,1003
116076,Veritate,937,590
116727,Errai,275,84
116771,HIP 116771,1484,1068
