Star_ID,Name,X,Y
1067,Algenib,424,115
1547,Citadelle,393,144
1645,HIP 1645,403,276
2247,Felixvarela,458,812
3419,Diphda,389,869
3479,Cocibolca,438,1054
3760,HIP 3760,252,317
4906,HIP 4906,167,315
5737,Revati,105,331
7007,HIP 7007,13,378
97278,Tarazed,1885,11
97649,Altair,1864,58
97938,Libertas,1844,71
98036,Alshain,1845,121
98066,Terebellum,1855,905
99711,Phoenicia,1752,306
99894,Chechia,1727,180
100064,Algedi,1743,578
100310,Alshat,1728,583
100345,Dabih,1727,629
101421,Aldulfin,1607,38
102485,HIP 102485,1591,868
102618,Albali,1575,515
102831,HIP 102831,1565,1060
102978,HIP 102978,1562,905
103527,Musica,1468,70
103738,HIP 103738,1512,1024
104139,HIP 104139,1486,691
104521,HIP 104521,1406,95
104858,HIP 104858,1383,101
104987,Kitalpha,1390,206
105140,HIP 105140,1432,1022
105515,HIP 105515,1400,686
105570,HIP 105570,1348,177
106278,Sadalsuud,1332,449
106786,Bunda,1304,500
106824,Sāmaya,1336,1014
106985,Nashira,1308,689
107251,Bosona,1273,494
107315,Enif,1225,127
107556,Deneb Algedi,1272,680
107608,HIP 107608,1290,998
108661,HIP 108661,1224,949
109074,Sadalmelik,1139,358
109139,HIP 109139,1168,642
109422,HIP 109422,1188,1041
109427,Biham,1098,224
110003,Ancha,1100,521
110395,Sadachbia,1059,391
110813,Lionrock,1072,725
111123,HIP 111123,1037,590
111497,HIP 111497,984,374
111710,Situla,983,461
111954,HIP 111954,1032,939
112029,Homam,921,148
112716,HIP 112716,949,663
113136,Skat,930,713
113246,HIP 113246,977,1065
113368,Fomalhaut,960,1005
113889,Fumalsamakah,824,312
113963,Markab,787,71
114322,Ebla,814,443
114341,HIP 114341,874,836
114855,HIP 114855,801,590
114971,HIP 114971,756,334
115227,HIP 115227,733,292
115438,HIP 115438,804,825
115738,HIP 115738,711,383
115830,HIP 115830,690,276
116771,HIP 116771,629,301
116928,HIP 116928,630,384
117245,HIP 117245,601,352
118268,HIP 118268,522,289
118319,Axólotl,633,910
