Star_ID,Name,X,Y
63090,Minelauva,1850,87
64962,HIP 64962,1879,741
65109,HIP 65109,1913,1066
65474,Spica,1783,471
66249,Heze,1661,252
68520,HIP 68520,1502,255
68895,HIP 68895,1646,870
69415,HIP 69415,1617,890
69427,Kang,1522,522
69701,Syrma,1478,438
69974,Khambalia,1509,597
70306,HIP 70306,1569,912
70755,Elgafar,1390,380
71795,HIP 71795,1207,77
72220,HIP 72220,1269,327
72339,Mönch,1278,373
72571,HIP 72571,1438,950
72622,Zubenelgenubi,1364,700
72845,Arcalís,1111,9
73714,Brachium,1357,911
74785,Zubeneschamali,1192,606
76333,Zubenelhakrabi,1137,744
77070,Unukalhai,949,338
77450,Gudja,843,111
77516,HIP 77516,991,542
77853,HIP 77853,1062,813
78104,Iklil,1137,1070
78265,Fang,1106,1010
78401,Dschubba,1073,942
78820,Acrab,1029,894
79043,Marsic,757,166
79374,Jabbah,995,898
79431,Sharjah,988,888
79593,Yed Prior,871,591
79882,Yed Posterior,858,617
80112,Alniyat,999,1037
80463,Cujam,693,256
80687,Timir,872,807
80763,Antares,968,1069
80816,Kornephoros,619,110
80883,Marfik,749,507
81022,Rosalíadecastro,739,509
82651,Mahsati,566,345
83000,HIP 83000,564,405
84012,Sabik,688,932
84345,Rasalgethi,444,328
84379,Sarin,377,104
84880,HIP 84880,613,896
85693,Maasym,290,97
86032,Rasalhague,352,400
86263,HIP 86263,552,982
86565,HIP 86565,511,938
86742,Cebalrai,362,583
86974,HIP 86974,201,80
87933,HIP 87933,135,57
88048,HIP 88048,395,912
88670,HIP 88670,346,897
88794,HIP 88794,86,79
90004,Alasia,297,1007
90441,HIP 90441,161,759
90595,HIP 90595,285,1079
91117,HIP 91117,192,960
92175,HIP 92175,94,911
92202,HIP 92202,101,933
