Star_ID,Name,X,Y
73714,Brachium,886,1077
74395,HIP 74395,180,1037
74785,Zubeneschamali,1287,969
75141,HIP 75141,486,996
75177,HIP 75177,600,990
76297,HIP 76297,470,928
76333,Zubenelhakrabi,1138,870
76552,HIP 76552,433,916
77070,Unukalhai,1670,738
77516,HIP 77516,1411,744
77634,HIP 77634,656,833
77853,HIP 77853,1076,766
78104,Iklil,763,788
78265,Fang,839,768
78384,HIP 78384,530,799
78401,Dschubba,925,748
78639,HIP 78639,248,816
78820,Acrab,990,708
78970,HIP 78970,568,758
79374,Jabbah,992,669
79431,Sharjah,1006,663
79509,HIP 79509,99,792
79593,Yed Prior,1379,590
79882,Yed Posterior,1350,570
80000,HIP 80000,215,749
80112,Alniyat,833,642
80463,Cujam,1822,436
80582,HIP 80582,277,706
80687,Timir,1124,547
80763,Antares,805,600
80883,Marfik,1503,460
81022,Rosalíadecastro,1503,447
81266,Paikauhale,754,573
82396,Larawag,590,530
82514,Xamidimura,495,542
82545,Pipirima,495,540
82651,Mahsati,1732,264
82671,HIP 82671,385,558
83000,HIP 83000,1659,252
83081,HIP 83081,29,627
83547,Rapeto,349,515
84012,Sabik,1015,312
84143,HIP 84143,341,480
84345,Rasalgethi,1769,115
84405,Guniibuu,744,351
84787,Inquill,197,486
84880,HIP 84880,1070,233
85258,HIP 85258,11,524
85696,Lesath,461,348
85755,HIP 85755,784,245
85792,HIP 85792,147,448
85927,Shaula,461,332
86228,Sargas,311,364
86263,HIP 86263,981,151
86565,HIP 86565,1036,111
86796,Cervantes,79,417
87072,HIP 87072,663,187
87261,Fuyue,436,253
88414,Pincoya,616,110
88635,Alnasl,566,113
88714,HIP 88714,85,310
89931,Kaus Media,549,28
90185,Kaus Australis,432,58
90422,HIP 90422,146,177
90568,HIP 90568,66,209
90887,HIP 90887,285,78
91875,HIP 91875,292,8
92953,HIP 92953,155,8
