Star_ID,Name,X,Y
2247,Felixvarela,1411,567
3419,Diphda,1483,494
3479,Cocibolca,1409,289
4577,HIP 4577,1454,190
5737,Revati,1891,1077
102485,HIP 102485,80,541
102618,Albali,88,972
102831,HIP 102831,118,312
102978,HIP 102978,117,498
103738,HIP 103738,179,357
104139,HIP 104139,202,758
105140,HIP 105140,273,363
105515,HIP 105515,305,765
106278,Sadalsuud,390,1056
106786,Bunda,424,992
106824,Sāmaya,385,374
106985,Nashira,417,762
107251,Bosona,461,999
107556,Deneb Algedi,461,772
107608,HIP 107608,438,394
108085,Aldhanab,464,226
108375,Itonda,481,215
108661,HIP 108661,515,451
109111,HIP 109111,523,166
109139,HIP 109139,586,816
109422,HIP 109422,557,343
110003,Ancha,673,961
110813,Lionrock,699,714
110997,HIP 110997,626,55
111123,HIP 111123,747,875
111710,Situla,819,1028
111954,HIP 111954,739,460
112716,HIP 112716,848,782
113136,Skat,868,722
113246,HIP 113246,798,311
113368,Fomalhaut,821,381
114131,HIP 114131,799,27
114322,Ebla,1026,1038
114341,HIP 114341,927,574
114855,HIP 114855,1030,860
115102,HIP 115102,916,287
115438,HIP 115438,1009,582
116231,HIP 116231,955,140
118319,Axólotl,1201,471
