Star_ID,Name,X,Y
17847,Atlas,349,222
109268,Alnair,1556,804
86263,HIP 86263,92,95
86565,HIP 86565,35,143
87072,HIP 87072,430,48
88414,Pincoya,477,127
88635,Alnasl,528,125
89341,Polis,317,257
89931,Kaus Media,544,210
90004,Alasia,115,403
90185,Kaus Australis,659,182
90422,HIP 90422,938,88
90496,Kaus Borealis,455,290
90568,HIP 90568,1015,68
90595,HIP 90595,200,416
90887,HIP 90887,799,170
91117,HIP 91117,65,527
91875,HIP 91875,790,235
92175,HIP 92175,19,644
92202,HIP 92202,43,633
92609,HIP 92609,1360,23
92761,Ainalrami,460,459
92814,HIP 92814,298,548
92855,Nunki,543,423
92953,HIP 92953,915,242
92989,HIP 92989,795,303
93085,HIP 93085,433,497
93174,HIP 93174,794,315
93506,Ascella,642,417
93542,HIP 93542,915,278
93683,HIP 93683,467,526
93825,HIP 93825,811,350
94005,HIP 94005,891,318
94114,Meridiana,836,353
94141,Albaldah,466,561
94160,HIP 94160,869,338
94645,Gumala,552,550
94820,HIP 94820,444,629
95124,Belel,556,585
95168,HIP 95168,432,664
95241,Arkab Prior,1009,327
95262,Sika,762,474
95294,Arkab Posterior,1018,325
95347,Rukbat,929,381
96406,HIP 96406,625,643
98032,HIP 98032,1035,487
98066,Terebellum,721,714
98412,HIP 98412,915,600
98495,HIP 98495,1692,33
99240,HIP 99240,1560,157
100064,Algedi,520,1031
100310,Alshat,535,1041
100345,Dabih,578,1010
100751,Peacock,1405,354
102395,HIP 102395,1625,229
102485,HIP 102485,880,952
102831,HIP 102831,1052,822
102978,HIP 102978,933,948
103227,HIP 103227,1506,395
103738,HIP 103738,1066,891
105140,HIP 105140,1129,954
105319,HIP 105319,1489,552
105858,HIP 105858,1696,319
106824,Sāmaya,1204,1035
107089,HIP 107089,1905,62
108085,Aldhanab,1359,972
108375,Itonda,1380,974
109111,HIP 109111,1443,961
110130,HIP 110130,1762,517
110997,HIP 110997,1594,931
112122,Tiaki,1691,880
112623,HIP 112623,1764,782
113638,HIP 113638,1826,765
114131,HIP 114131,1760,1010
114421,HIP 114421,1793,972
