Star_ID,Name,X,Y
746,Caph,671,73
2920,Fulu,837,81
3179,Schedar,785,126
3821,Achird,771,167
107418,Castula,751,205
5447,Mirach,1324,17
6411,Adhil,1107,162
6643,Bélénos,1528,38
6686,Ruchbah,764,301
7513,Titawin,1227,193
7607,Nembus,1054,250
8796,Mothallah,1543,200
8832,Mesarthim,1813,145
8886,Segin,707,407
8903,Sheratan,1774,160
9640,Almach,1235,322
9884,Hamal,1718,251
10670,HIP 10670,1459,351
12191,Buna,1263,474
13061,Lilii Borea,1594,507
13192,Nushagak,527,567
13209,Bharani,1646,516
13254,HIP 13254,1362,533
13268,Miram,923,553
14328,HIP 14328,984,602
14576,Algol,1297,619
14668,Misam,1199,624
14838,Botein,1850,645
15863,Mirfak,1071,681
16228,HIP 16228,820,676
17358,HIP 17358,1115,762
18246,Atik,1505,819
17489,Celaeno,1714,845
17499,Electra,1719,846
17531,Taygeta,1709,847
17573,Maia,1711,851
17579,Asterope,1706,851
17608,Merope,1722,856
17702,Alcyone,1717,862
17851,Pleione,1715,872
17959,HIP 17959,528,689
18505,HIP 18505,729,748
18532,HIP 18532,1298,859
18614,Menkib,1404,883
22783,HIP 22783,604,867
24003,Mago,511,862
25110,HIP 25110,286,753
106032,Alfirk,142,66
112724,HIP 112724,373,40
116727,Errai,267,340
