Star_ID,Name,X,Y
677,Alpheratz,821,444
1067,Algenib,990,747
1547,Citadelle,975,790
1645,HIP 1645,1050,918
3092,HIP 3092,656,495
3760,HIP 3760,915,1031
3881,HIP 3881,483,295
4436,HIP 4436,483,370
4889,HIP 4889,534,536
4906,HIP 4906,828,1066
5447,Mirach,457,465
5742,HIP 5742,564,726
6193,HIP 6193,504,680
6411,Adhil,294,257
6643,Bélénos,460,664
7097,Alpherg,577,985
7513,Titawin,271,384
7607,Nembus,198,206
8796,Mothallah,305,704
8832,Mesarthim,409,952
8903,Sheratan,386,919
9640,Almach,136,405
9884,Hamal,288,884
10670,HIP 10670,138,644
13061,Lilii Borea,3,816
13209,Bharani,6,873
104780,Solaris,1839,19
107315,Enif,1794,259
109074,Sadalmelik,1875,563
109176,HIP 109176,1400,76
109427,Biham,1736,450
110395,Sadachbia,1811,655
111497,HIP 111497,1718,687
111710,Situla,1774,783
112029,Homam,1504,493
112158,Matar,1167,132
112716,HIP 112716,1867,1036
112748,Sadalbari,1234,264
113881,Scheat,1118,249
113889,Fumalsamakah,1508,723
113963,Markab,1322,500
114322,Ebla,1577,870
114855,HIP 114855,1650,1042
114971,HIP 114971,1449,786
115227,HIP 115227,1400,756
115250,Salm,1114,393
115623,Alkarab,1098,417
115738,HIP 115738,1430,866
115830,HIP 115830,1346,765
116076,Veritate,827,125
116771,HIP 116771,1296,825
116928,HIP 116928,1343,913
117245,HIP 117245,1295,893
118268,HIP 118268,1179,871
