Star_ID,Name,X,Y
29655,HIP 29655,164,28
30122,Furud,1541,19
30277,HIP 30277,1631,35
30324,Mirzam,1223,23
30343,HIP 30343,170,79
30419,HIP 30419,644,43
30665,HIP 30665,424,77
30867,HIP 30867,943,63
30883,HIP 30883,237,110
30905,Lusitânia,482,89
31216,HIP 31216,577,106
31416,HIP 31416,1352,99
31592,HIP 31592,1256,108
31681,HIP 31681,343,155
31685,HIP 31685,1892,136
31978,HIP 31978,515,162
32246,HIP 32246,114,218
32349,Sirius,1191,160
32362,HIP 32362,439,195
32533,HIP 32533,565,199
32759,HIP 32759,1599,189
33160,HIP 33160,1074,218
33165,HIP 33165,1376,213
33347,HIP 33347,1201,226
33579,Adhara,1506,238
33719,Citalá,908,262
33856,Nganurganity,1479,255
34045,Muliphein,1166,273
34088,HIP 34088,249,330
34444,Wezen,1440,294
34769,HIP 34769,790,340
35037,HIP 35037,1451,331
35264,HIP 35264,1721,338
35350,HIP 35350,361,408
35550,HIP 35550,220,432
35904,Aludra,1518,382
36046,HIP 36046,67,478
36188,Gomeisa,576,449
36377,HIP 36377,1891,396
36962,HIP 36962,96,538
37279,Procyon,658,520
37447,HIP 37447,1026,508
37740,HIP 37740,167,585
37826,Pollux,69,596
38146,HIP 38146,1413,529
38170,Azmidi,1412,531
39211,HIP 39211,832,645
39429,Naos,1813,576
39757,Tureis,1406,637
39863,HIP 39863,875,688
40167,Tegmine,354,745
40526,Tarf,573,759
40843,HIP 40843,102,805
40881,Piautos,189,804
42402,Minchir,731,889
42446,Gakyid,485,907
42515,HIP 42515,1712,785
42556,Meleph,313,922
42806,Asellus Borealis,262,942
42828,HIP 42828,1659,813
42911,Asellus Australis,351,948
43109,Ashlesha,656,945
43409,HIP 43409,1523,874
43587,Copernicus,76,1003
44066,Acubens,520,1028
46651,HIP 46651,1907,1024
