Star_ID,Name,X,Y
52943,HIP 52943,2,312
53740,Alkes,85,280
54204,HIP 54204,204,62
55174,Hunahpú,243,173
55282,HIP 55282,176,410
55664,Shama,115,763
55687,HIP 55687,179,520
55705,HIP 55705,232,346
56343,HIP 56343,400,6
56572,Sagarmatha,211,696
56633,HIP 56633,248,568
57283,HIP 57283,356,365
57370,Flegetonte,232,908
57380,HIP 57380,215,1006
57757,Zavijava,270,886
58188,HIP 58188,415,413
59199,Alchiba,537,245
59803,Gienah,535,433
60129,Zaniah,470,860
60965,Algorab,612,477
61174,HIP 61174,623,488
61359,Kraz,675,314
63090,Minelauva,679,1002
64166,HIP 64166,870,359
64962,HIP 64962,926,367
65109,HIP 65109,987,31
65474,Spica,918,668
66249,Heze,940,938
68520,HIP 68520,1103,1014
68895,HIP 68895,1203,311
68933,Menkent,1222,66
69415,HIP 69415,1240,300
69427,Kang,1206,724
69701,Syrma,1215,833
69974,Khambalia,1251,650
70306,HIP 70306,1298,291
70755,Elgafar,1283,936
72220,HIP 72220,1389,1054
72339,Mönch,1402,998
72571,HIP 72571,1452,289
72622,Zubenelgenubi,1449,595
73714,Brachium,1532,358
74785,Zubeneschamali,1608,772
75177,HIP 75177,1618,65
76333,Zubenelhakrabi,1729,631
77516,HIP 77516,1821,939
77634,HIP 77634,1787,118
77853,HIP 77853,1846,575
78104,Iklil,1837,234
78265,Fang,1858,317
78401,Dschubba,1877,411
78820,Acrab,1916,486
78970,HIP 78970,1865,17
