Star_ID,Name,X,Y
64241,Diadem,1869,393
64394,HIP 64394,1807,115
66249,Heze,1747,897
67459,HIP 67459,1623,469
67927,Muphrid,1584,404
68520,HIP 68520,1566,845
69673,Arcturus,1455,395
69701,Syrma,1473,1045
70755,Elgafar,1394,946
71053,HIP 71053,1339,116
71795,HIP 71795,1306,541
72105,Izar,1271,205
72220,HIP 72220,1278,840
72339,Mönch,1270,895
72845,Arcalís,1230,429
75695,Nusakan,1030,157
76127,HIP 76127,1003,100
76267,Alphecca,991,217
76952,HIP 76952,945,226
77070,Unukalhai,917,720
77450,Gudja,902,428
77512,HIP 77512,906,230
77516,HIP 77516,875,966
78159,HIP 78159,863,207
78493,HIP 78493,846,131
79043,Marsic,786,449
79219,Kamuy,792,206
79593,Yed Prior,717,967
79882,Yed Posterior,691,991
80463,Cujam,676,516
80816,Kornephoros,665,327
80883,Marfik,620,816
81022,Rosalíadecastro,608,813
82651,Mahsati,498,552
83000,HIP 83000,467,615
83207,HIP 83207,526,64
84345,Rasalgethi,376,474
84379,Sarin,415,206
85693,Maasym,330,156
86032,Rasalhague,241,503
86742,Cebalrai,157,706
86974,HIP 86974,248,94
87933,HIP 87933,193,37
88794,HIP 88794,133,34
