Star_ID,Name,X,Y
6686,Ruchbah,1396,20
8886,Segin,1397,145
13192,Nushagak,1308,374
13268,Miram,1670,178
14328,HIP 14328,1752,198
15863,Mirfak,1876,235
16228,HIP 16228,1627,345
17959,HIP 17959,1362,482
18505,HIP 18505,1572,452
22783,HIP 22783,1503,615
24003,Mago,1416,646
25110,HIP 25110,1173,636
30060,HIP 30060,1631,905
33449,HIP 33449,1585,1027
58952,Tonatiuh,796,900
61177,Funi,734,939
61281,HIP 61281,676,1045
68756,Thuban,410,1011
72607,Kochab,560,781
73136,Baekdu,572,763
75097,Pherkad,482,755
75458,Edasich,161,860
78527,HIP 78527,117,738
80331,Athebyne,186,654
83895,Aldhibah,299,525
85822,Yildun,826,575
86614,Dziban,476,480
86782,Alruba,8,346
87585,Grumium,100,335
90344,Fafnir,353,325
94376,Altais,462,252
96100,Alsafi,531,249
106032,Alfirk,753,132
116727,Errai,983,294
