Star_ID,Name,X,Y
2247,Felixvarela,226,459
3419,Diphda,306,391
3479,Cocibolca,257,170
3760,HIP 3760,530,1007
4577,HIP 4577,321,77
4906,HIP 4906,623,990
5737,Revati,685,959
7007,HIP 7007,771,890
7884,HIP 7884,832,850
8198,Torcular,886,929
8645,Baten Kaitos,763,456
8833,HIP 8833,884,771
9487,Alrescha,931,744
10826,Mira,985,573
12093,HIP 12093,1153,740
12706,Kaffaljidhma,1177,669
12843,HIP 12843,1000,154
12961,Koeia,968,43
15474,Angetenar,1011,83
13701,Azha,1150,357
14135,Menkar,1296,650
13993,Ayeyarwady,1064,68
14838,Botein,1479,1012
15197,Zibal,1264,316
15900,HIP 15900,1472,722
16537,Ran,1358,262
17378,Rana,1415,230
17489,Celaeno,1712,1070
17499,Electra,1711,1066
17531,Taygeta,1715,1074
17573,Maia,1718,1071
17579,Asterope,1720,1076
17608,Merope,1718,1059
17702,Alcyone,1726,1061
17851,Pleione,1737,1059
18543,Zaurak,1464,104
18724,HIP 18724,1719,736
19587,Beid,1615,231
19849,Keid,1627,202
20205,Prima Hyadum,1864,781
20455,Secunda Hyadum,1898,826
20648,HIP 20648,1918,832
21109,Hoggar,1846,470
21444,HIP 21444,1801,256
22109,HIP 22109,1861,235
22701,HIP 22701,1885,159
116928,HIP 116928,61,1013
117245,HIP 117245,105,1049
118319,Axólotl,10,336
