Star_ID,Name,X,Y
765,HIP 765,1279,1060
1599,HIP 1599,1028,645
2021,HIP 2021,850,394
2072,HIP 2072,1373,1057
2484,HIP 2484,1082,663
5054,Nenque,1588,1011
5348,Wurren,1301,721
5529,Emiw,1102,533
7083,HIP 7083,1479,754
7588,Achernar,1327,610
8837,HIP 8837,1594,715
9007,HIP 9007,1483,633
9236,HIP 9236,1272,494
10602,HIP 10602,1526,563
11001,HIP 11001,1143,358
11407,HIP 11407,1634,567
12394,HIP 12394,1168,324
12413,HIP 12413,1775,565
12484,HIP 12484,1494,446
12486,HIP 12486,1853,593
13847,Acamar,1874,503
14240,HIP 14240,1393,328
15510,HIP 15510,1834,375
17096,Tupi,1593,237
17440,HIP 17440,1289,185
17678,HIP 17678,1051,159
18597,HIP 18597,1379,150
19747,HIP 19747,1893,107
19780,HIP 19780,1352,102
19893,HIP 19893,1641,93
19921,HIP 19921,1435,93
21060,HIP 21060,1819,22
21281,HIP 21281,1543,25
21949,HIP 21949,1129,49
25918,HIP 25918,972,2
70638,HIP 70638,499,82
71680,Men,1051,25
72370,HIP 72370,377,64
74946,HIP 74946,91,71
76351,Karaka,398,125
81065,HIP 81065,370,196
81852,HIP 81852,337,217
82273,Atria,122,290
86929,HIP 86929,81,476
88866,HIP 88866,97,548
90098,HIP 90098,82,621
91792,HIP 91792,308,474
92609,HIP 92609,162,671
93015,HIP 93015,259,578
98495,HIP 98495,456,531
99240,HIP 99240,402,696
100751,Peacock,370,946
102395,HIP 102395,492,725
103227,HIP 103227,480,926
104382,Polaris Australis,647,168
105319,HIP 105319,555,1066
105858,HIP 105858,596,762
107089,HIP 107089,639,461
110130,HIP 110130,752,883
112405,HIP 112405,703,354
113638,HIP 113638,942,1031
114996,HIP 114996,948,880
116084,Poerava,990,862
