Star_ID,Name,X,Y
77853,HIP 77853,1827,900
78265,Fang,1641,1079
78401,Dschubba,1694,1000
78820,Acrab,1716,921
79374,Jabbah,1689,888
79431,Sharjah,1695,873
79593,Yed Prior,1919,527
79882,Yed Posterior,1881,536
80112,Alniyat,1545,984
80687,Timir,1697,695
80763,Antares,1493,972
80883,Marfik,1902,334
81022,Rosalíadecastro,1892,324
81266,Paikauhale,1435,987
82396,Larawag,1277,1067
82651,Mahsati,1895,13
83000,HIP 83000,1838,65
84012,Sabik,1441,605
84405,Guniibuu,1272,826
84880,HIP 84880,1423,509
85696,Lesath,1058,1012
85755,HIP 85755,1228,721
85927,Shaula,1048,1000
86263,HIP 86263,1301,516
86565,HIP 86565,1311,448
86742,Cebalrai,1504,43
87072,HIP 87072,1101,761
87261,Fuyue,978,958
88048,HIP 88048,1250,329
88414,Pincoya,1017,737
88635,Alnasl,983,772
88670,HIP 88670,1226,277
89341,Polis,1046,543
89931,Kaus Media,915,722
90004,Alasia,1100,317
90185,Kaus Australis,852,818
90441,HIP 90441,1198,23
90496,Kaus Borealis,927,607
90595,HIP 90595,1032,358
90887,HIP 90887,759,923
91117,HIP 91117,1063,198
91875,HIP 91875,721,869
92175,HIP 92175,1029,87
92202,HIP 92202,1018,109
92761,Ainalrami,816,487
92814,HIP 92814,880,321
92855,Nunki,778,567
92953,HIP 92953,624,951
92989,HIP 92989,670,822
93085,HIP 93085,812,441
93174,HIP 93174,663,813
93506,Ascella,708,636
93542,HIP 93542,599,925
93683,HIP 93683,769,442
93825,HIP 93825,627,799
94005,HIP 94005,588,878
94114,Meridiana,605,814
94141,Albaldah,748,414
94160,HIP 94160,590,847
94645,Gumala,689,477
94820,HIP 94820,722,350
95124,Belel,664,453
95168,HIP 95168,709,315
95241,Arkab Prior,492,954
95262,Sika,580,672
95294,Arkab Posterior,487,962
95347,Rukbat,516,857
96406,HIP 96406,574,452
98032,HIP 98032,359,850
98066,Terebellum,453,458
98412,HIP 98412,375,677
100064,Algedi,418,79
100310,Alshat,400,80
100345,Dabih,384,130
102485,HIP 102485,170,367
102831,HIP 102831,113,590
102978,HIP 102978,129,405
103738,HIP 103738,54,541
104139,HIP 104139,86,129
