Star_ID,Name,X,Y
47508,Subra,139,1044
49669,Regulus,276,912
50335,Adhafera,564,1012
50583,Algieba,492,950
51437,HIP 51437,66,608
53229,Praecipua,906,967
53721,Chalawan,1058,1021
54158,Dingolay,159,389
54539,HIP 54539,1172,1033
54872,Zosma,678,684
54879,Chertan,573,610
55219,Alula Borealis,952,840
55664,Shama,258,300
55687,HIP 55687,59,144
56508,Formosa,748,583
56572,Sagarmatha,237,186
56633,HIP 56633,132,97
57370,Flegetonte,433,259
57380,HIP 57380,509,317
57399,Taiyangshou,1333,946
57632,Denebola,682,427
57757,Zavijava,432,216
58001,Phecda,1475,1014
59774,Megrez,1594,1007
60129,Zaniah,504,29
61317,Chara,1348,675
62223,La Superba,1459,711
62956,Alioth,1674,886
63076,Taiyi,1850,1078
63125,Cor Caroli,1370,544
63608,Vindemiatrix,910,29
64241,Diadem,1062,113
64394,HIP 64394,1251,295
65378,Mizar,1744,792
65477,Alcor,1749,791
66192,Liesma,1757,743
67301,Alkaid,1736,614
69732,Xuange,1800,471
71053,HIP 71053,1649,68
71075,Seginus,1761,250
