Star_ID,Name,X,Y
17847,Atlas,329,654
84012,Sabik,200,897
84405,Guniibuu,114,615
84880,HIP 84880,295,938
85696,Lesath,92,313
85755,HIP 85755,231,643
85927,Shaula,108,312
86228,Sargas,70,154
86263,HIP 86263,361,830
86565,HIP 86565,413,878
87072,HIP 87072,276,510
87261,Fuyue,190,281
88048,HIP 88048,549,896
88414,Pincoya,349,455
88635,Alnasl,342,405
88670,HIP 88670,606,907
89341,Polis,492,599
89931,Kaus Media,425,381
90004,Alasia,647,778
90185,Kaus Australis,387,268
90441,HIP 90441,833,1026
90496,Kaus Borealis,513,462
90595,HIP 90595,653,698
90887,HIP 90887,362,124
91117,HIP 91117,765,817
91875,HIP 91875,430,129
92175,HIP 92175,875,853
92202,HIP 92202,864,831
92761,Ainalrami,677,446
92814,HIP 92814,772,597
92855,Nunki,637,366
92895,Kaveh,1042,1017
92946,Alya,1044,1014
92989,HIP 92989,501,119
93085,HIP 93085,716,471
93174,HIP 93174,513,118
93506,Ascella,626,267
93683,HIP 93683,742,436
93825,HIP 93825,548,99
94005,HIP 94005,510,17
94114,Meridiana,550,72
94141,Albaldah,777,435
94160,HIP 94160,533,39
94645,Gumala,763,351
94820,HIP 94820,843,454
95124,Belel,797,346
95168,HIP 95168,878,464
95262,Sika,678,143
96406,HIP 96406,853,276
97278,Tarazed,1401,977
97649,Altair,1400,923
97938,Libertas,1413,902
98036,Alshain,1389,854
98066,Terebellum,922,179
99711,Phoenicia,1383,634
99894,Chechia,1473,741
100064,Algedi,1232,380
100310,Alshat,1242,366
100345,Dabih,1213,324
101421,Aldulfin,1663,824
101769,Rotanev,1735,882
101958,Sualocin,1766,905
102485,HIP 102485,1165,22
102618,Albali,1426,331
103527,Musica,1794,722
104139,HIP 104139,1390,104
104521,HIP 104521,1849,661
104858,HIP 104858,1870,643
104987,Kitalpha,1804,532
105515,HIP 105515,1475,45
105570,HIP 105570,1867,539
106278,Sadalsuud,1713,236
106786,Bunda,1706,162
107251,Bosona,1743,147
