Star_ID,Name,X,Y
765,HIP 765,1448,431
1599,HIP 1599,1842,746
2072,HIP 2072,1363,467
2081,Ankaa,1333,449
2247,Felixvarela,756,138
2484,HIP 2484,1780,746
3419,Diphda,753,239
3479,Cocibolca,942,340
4577,HIP 4577,970,441
4906,HIP 4906,84,63
5054,Nenque,1185,577
5348,Wurren,1542,760
5529,Emiw,1803,888
5737,Revati,62,135
7007,HIP 7007,55,254
7083,HIP 7083,1360,782
7588,Achernar,1550,878
7884,HIP 7884,42,332
8645,Baten Kaitos,410,546
8833,HIP 8833,71,433
8837,HIP 8837,1262,849
9007,HIP 9007,1389,898
9236,HIP 9236,1638,980
9487,Alrescha,61,491
10602,HIP 10602,1366,977
10826,Mira,168,653
11407,HIP 11407,1260,999
12413,HIP 12413,1128,1031
12486,HIP 12486,1050,1021
12843,HIP 12843,514,927
12961,Koeia,625,964
13147,HIP 13147,855,1027
15474,Angetenar,566,977
13701,Azha,249,935
13993,Ayeyarwady,550,1030
14146,HIP 14146,619,1058
15197,Zibal,216,1060
109268,Alnair,1854,54
110997,HIP 110997,1714,43
112122,Tiaki,1727,154
112623,HIP 112623,1787,261
113638,HIP 113638,1776,325
114131,HIP 114131,1582,169
114421,HIP 114421,1604,213
114996,HIP 114996,1834,475
115102,HIP 115102,1325,27
116084,Poerava,1799,511
116231,HIP 116231,1386,171
118319,Axólotl,978,68
