Star_ID,Name,X,Y
1599,HIP 1599,57,1033
2484,HIP 2484,121,1033
5348,Wurren,366,1017
5529,Emiw,99,889
7083,HIP 7083,549,987
7588,Achernar,354,897
8837,HIP 8837,644,912
9007,HIP 9007,514,871
9236,HIP 9236,264,797
9487,Alrescha,1919,1063
10602,HIP 10602,533,791
10826,Mira,1770,930
11001,HIP 11001,93,692
11407,HIP 11407,635,764
12394,HIP 12394,111,650
12413,HIP 12413,762,721
12484,HIP 12484,469,688
12486,HIP 12486,838,724
12843,HIP 12843,1372,738
12961,Koeia,1259,722
13147,HIP 13147,1026,695
15474,Angetenar,1312,699
13701,Azha,1624,676
13847,Acamar,832,640
13993,Ayeyarwady,1319,645
14146,HIP 14146,1248,631
14240,HIP 14240,342,599
14879,Dalim,1115,575
15197,Zibal,1627,551
15510,HIP 15510,765,538
15578,Intan,997,530
16537,Ran,1608,441
16611,HIP 16611,1296,448
17096,Tupi,514,467
17378,Rana,1597,375
17440,HIP 17440,205,479
17651,HIP 17651,1251,375
17797,HIP 17797,893,395
17874,HIP 17874,928,388
18543,Zaurak,1493,288
18597,HIP 18597,289,425
19587,Beid,1659,182
19747,HIP 19747,762,289
19780,HIP 19780,253,382
19849,Keid,1635,162
19893,HIP 19893,531,321
19921,HIP 19921,333,359
21248,Beemim,958,205
21060,HIP 21060,681,227
21281,HIP 21281,427,274
21393,Theemin,1032,129
21444,HIP 21444,1734,8
21594,Sceptrum,1441,38
21770,HIP 21770,747,165
21861,HIP 21861,862,130
21949,HIP 21949,13,367
22491,Mouhoun,1170,14
26069,HIP 26069,171,152
27100,HIP 27100,77,165
27530,HIP 27530,296,22
27890,HIP 27890,126,104
