Star_ID,Name,X,Y
28910,HIP 28910,33,803
29651,HIP 29651,195,986
30324,Mirzam,94,681
30867,HIP 30867,266,922
31416,HIP 31416,106,524
31592,HIP 31592,159,610
32349,Sirius,237,646
32759,HIP 32759,78,251
33160,HIP 33160,346,727
33165,HIP 33165,201,450
33347,HIP 33347,294,606
33579,Adhara,165,317
33719,Citalá,466,857
33856,Nganurganity,194,334
34045,Muliphein,354,616
34444,Wezen,247,353
34769,HIP 34769,595,926
35037,HIP 35037,277,327
35264,HIP 35264,165,73
35904,Aludra,294,243
36188,Gomeisa,799,1063
37279,Procyon,821,955
37447,HIP 37447,633,633
38146,HIP 38146,476,273
38170,Azmidi,478,274
39211,HIP 39211,847,741
39757,Tureis,577,232
39863,HIP 39863,864,683
40526,Tarf,1071,912
42402,Minchir,1108,713
42446,Gakyid,1242,915
42556,Meleph,1340,1054
42911,Asellus Australis,1343,1009
43109,Ashlesha,1192,751
43409,HIP 43409,738,25
44066,Acubens,1328,827
44946,Nahn,1525,1014
45336,HIP 45336,1280,570
45751,HIP 45751,1108,254
46390,Alphard,1195,295
46750,Alterf,1656,964
47431,Ukdah,1366,409
47508,Subra,1527,640
48356,Zhang,1224,81
48455,Rasalas,1810,970
48711,Bibhā,1413,294
49641,HIP 49641,1526,324
49669,Regulus,1704,593
49841,HIP 49841,1359,61
50335,Adhafera,1907,835
50583,Algieba,1877,738
51437,HIP 51437,1643,235
54158,Dingolay,1804,59
